@relation hw3_train

@attribute STATE {AL,CA,FL,MO,MN,TX,OR,MI,IL,AR,OK,GA,IN,CO,MS,LA,TN,WA,WI,MA,AZ,UT,KY,PA,KS,IA,NC,NM,SC,NV,ID,WY,NY,AK,ND,HI,MT,NE,SD,OH,CT,AP,VA,AE,AA,WV,MD,VI,ME,NH,NJ,GU,VT,RI}
@attribute DOMAIN {T2,' ',S1,U2,R2,U1,C1,T3,S2,C2,U4,R3,C3,S3,T1,U3,R1}
@attribute AGE numeric
@attribute HOMEOWNR {H,' ',U}
@attribute NUMCHLD numeric
@attribute INCOME {1,2,3,4,5,6,7}
@attribute GENDER {F,M,' ',J,U,C,A}
@attribute WEALTH1 {0,1,2,3,4,5,6,7,8,9}
@attribute HIT numeric
@attribute MBCRAFT numeric
@attribute MBGARDEN numeric
@attribute MBBOOKS numeric
@attribute MBCOLECT numeric
@attribute MAGFAML numeric
@attribute MAGFEM numeric
@attribute MAGMALE numeric
@attribute PUBGARDN numeric
@attribute PUBCULIN numeric
@attribute PUBHLTH numeric
@attribute PUBDOITY numeric
@attribute PUBNEWFN numeric
@attribute PUBPHOTO numeric
@attribute PUBOPP numeric
@attribute MAJOR {' ',X}
@attribute PEPSTRFL {X,' '}
@attribute NUMPRM12 numeric
@attribute NGIFTALL numeric
@attribute TARGET_B {0,1}

@data
TX,C2,76,H,?,1,M,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',11,4,0
TN,R3,?,H,?,6,F,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,8,0
CA,C1,?,H,?,5,F,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,3,0
OR,T2,?,H,?,1,M,1,21,2,0,4,0,2,0,0,0,1,3,3,0,0,0,' ',' ',10,9,0
MI,C3,54,H,4,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,6,0
KY,R3,80,U,?,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
PA,C3,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,7,0
TX,S1,50,H,?,6,F,8,21,2,0,5,0,1,1,1,0,2,1,0,1,0,2,' ',' ',10,2,0
TN,T2,80,H,?,5,M,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,13,0
KS,T2,44,H,1,5,M,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,7,0
AR,R3,?,U,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,32,0
CA,C3,47,H,?,2,F,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,14,1
MI,S3,77,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,26,0
KY,C2,61,H,?,5,M,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,10,0
MO,R3,35,U,?,2,F,2,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,1,0
OK,T2,82,H,?,6,F,6,7,0,0,3,0,0,0,0,0,0,2,0,0,0,0,' ',X,12,17,0
CA,U4,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,18,1
MI,S1,71,H,?,6,M,9,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,' ',' ',12,14,0
AR,R3,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,2,0
FL,S3,78,H,?,2,M,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,21,0
TX,T2,58,U,?,2,M,3,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,' ',X,13,37,0
IA,C2,59,H,?,5,F,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,10,0
CA,S2,54,H,1,4,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,9,1
CA,S1,?,U,?,3,F,4,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,11,0
CA,R2,70,H,?,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,8,0
IL,' ',83,' ',?,4,M,8,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,' ',X,14,17,0
IL,C1,68,H,?,1,J,7,9,2,0,0,0,0,0,0,0,0,0,0,3,0,1,' ',X,12,3,1
NC,T2,62,H,?,4,F,7,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',8,1,0
MO,S2,?,H,?,2,F,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,7,0
CA,C2,75,H,?,3,M,3,14,0,0,4,0,1,0,1,0,0,1,0,0,0,1,' ',' ',12,1,0
IN,S1,48,H,4,3,M,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,' ',X,13,14,0
WI,C3,80,U,?,1,F,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,14,1
TN,C2,43,H,2,7,F,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,9,0
CA,U1,78,H,?,5,F,4,7,0,0,1,0,1,1,0,0,0,0,0,0,0,0,' ',X,6,15,0
NM,S1,?,H,1,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,7,12,1
TN,T3,67,H,?,2,M,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',10,1,0
FL,U4,86,H,?,1,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,9,0
CO,S2,63,H,?,5,F,8,10,1,0,1,0,0,1,1,0,0,4,0,0,0,0,' ',' ',12,5,0
IL,C2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,3,0
MI,T2,48,H,2,7,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,12,1
SC,S2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,2,23,1
CA,U1,71,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,13,0
WA,R2,37,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,9,0
NV,U2,55,H,?,6,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,12,0
MN,R2,67,U,?,5,M,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',X,22,16,0
MI,C1,71,H,?,5,F,8,16,1,1,1,0,2,0,0,0,0,0,0,0,0,4,' ',X,13,12,0
LA,C1,?,' ',?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,23,12,0
TN,C2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,6,0
IL,U1,75,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,8,43,0
AZ,C3,54,H,?,5,M,1,10,0,0,3,0,1,0,0,1,0,1,4,0,0,0,' ',' ',13,5,0
FL,S1,63,H,1,6,M,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,' ',X,12,7,0
OR,T2,?,H,?,7,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,15,0
LA,R2,68,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,15,1
AZ,S1,48,H,?,5,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,0
IL,R2,59,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,24,0
ID,R3,79,H,?,1,F,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',11,1,0
TX,R2,68,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,33,0
KS,S2,83,H,?,2,F,5,31,2,1,6,0,0,0,0,0,2,8,0,0,0,0,' ',X,13,21,1
CA,U1,40,U,?,4,M,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,' ',X,13,9,0
CA,T2,49,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,10,0
NM,R3,32,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,10,6,0
CA,S1,76,' ',?,5,M,9,22,1,0,3,0,1,0,0,0,0,1,0,4,0,1,' ',X,22,15,0
TX,C2,70,U,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,5,0
LA,T1,37,H,?,5,F,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,17,0
MO,T3,90,H,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,0
FL,C3,89,U,?,3,M,2,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,36,29,0
NC,T2,42,U,1,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,24,0
FL,C2,71,H,?,3,F,6,35,0,0,9,0,2,2,1,2,0,3,1,5,0,2,' ',X,11,11,0
TX,R3,90,H,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,4,0
FL,' ',?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,13,0
NC,S2,61,H,?,5,F,8,11,0,0,3,0,1,0,0,1,0,3,0,0,0,0,' ',X,13,34,1
MI,U3,44,H,1,5,F,5,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
FL,U3,79,U,?,2,M,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,27,11,0
IN,T2,86,H,?,5,M,5,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,' ',X,13,18,0
NC,C2,?,U,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,0
TN,R3,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,4,1
WA,R3,33,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,10,21,0
WY,C2,?,U,?,2,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
WI,R2,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,1,0
NM,T2,80,H,?,1,M,2,20,0,1,4,0,1,0,0,0,0,3,1,1,0,6,' ',' ',11,1,0
NC,T2,47,H,?,6,M,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,6,1
OK,C2,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',11,3,1
MO,S1,80,H,?,2,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,20,23,0
CA,U1,?,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
WI,U3,74,H,?,2,F,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,' ',X,13,16,0
IN,S3,69,U,?,5,M,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,' ',X,11,11,0
MI,T2,68,H,?,6,F,8,10,0,1,2,0,1,1,0,0,0,2,2,0,0,0,' ',' ',12,16,0
IN,R2,32,U,1,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,2,0
IL,C1,39,' ',?,?,' ',?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,5,0
IN,S2,66,U,?,1,F,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,12,0
TX,T2,38,H,?,4,F,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,2,0
TX,R2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,29,0
LA,T2,26,H,?,5,M,3,10,0,0,1,0,0,0,0,0,0,0,0,1,1,0,' ',' ',14,4,0
MI,T2,63,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,8,0
NC,R2,86,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,9,0
CA,U1,76,H,?,6,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,3,0
IL,C3,68,U,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,4,0
CA,U1,74,U,?,1,M,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',30,5,0
NM,C2,80,H,?,1,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,24,20,1
MI,S2,32,U,?,5,M,7,19,0,0,2,1,1,0,0,0,0,1,0,3,0,8,' ',' ',10,6,1
FL,S2,61,H,?,7,M,8,15,2,0,3,0,0,0,0,1,0,0,1,1,1,1,' ',X,10,11,1
WA,S1,56,U,?,5,M,8,7,0,0,2,0,0,0,0,0,0,2,0,0,0,0,' ',' ',14,8,0
MI,R2,37,H,?,3,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,5,0
NC,T2,81,U,?,2,F,8,14,3,0,0,0,1,1,0,0,0,0,0,0,0,0,' ',X,13,29,0
TX,R2,75,H,?,2,M,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,11,22,1
MI,C3,72,U,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',12,8,0
MN,S1,31,U,?,1,M,2,7,1,0,2,0,1,0,0,0,0,0,0,0,0,1,' ',' ',5,2,0
MN,R2,68,H,?,6,F,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',X,11,15,0
AL,R2,75,' ',?,5,M,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',32,10,0
SC,C3,66,H,1,4,U,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,9,15,0
WI,R2,68,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,11,11,0
NM,U2,?,H,1,2,F,6,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,' ',X,13,6,0
IL,C1,73,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,16,12,1
MN,C2,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,15,6,0
CA,U3,?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',9,2,1
CA,S1,66,H,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,17,4,1
TX,T1,93,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,8,0
NC,T2,?,H,?,5,F,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,2,0
WY,R2,68,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,27,0
CA,R2,40,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,10,0
MI,T2,44,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,4,0
CA,T2,63,H,?,1,F,4,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,4,0
AL,R3,46,U,?,1,M,1,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,4,0
WA,R2,86,H,?,2,F,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,13,19,1
CA,U1,50,H,2,6,F,6,11,0,0,3,0,1,0,0,0,0,0,0,1,1,0,' ',X,12,14,0
MI,' ',85,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,44,1
CA,T1,72,H,?,6,F,8,10,0,0,2,0,1,0,0,0,0,1,0,0,0,0,' ',' ',12,2,1
OR,' ',?,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,4,1
FL,T1,71,H,?,6,M,9,12,0,0,2,0,0,0,0,0,0,0,0,2,0,1,' ',' ',31,4,0
NC,T2,44,U,?,4,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',14,3,1
MS,R3,59,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,14,13,0
CA,R2,61,H,?,5,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,7,0
AZ,C2,80,U,?,1,M,0,11,0,0,2,0,1,0,0,0,0,1,0,0,0,1,' ',X,39,23,0
KS,S1,40,U,1,7,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',7,6,1
NY,C3,71,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',7,1,0
WA,C3,84,H,?,1,F,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',16,14,0
MI,T2,46,' ',?,?,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',13,7,0
IL,T1,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,6,0
FL,S2,48,H,?,6,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,4,0
TX,T3,44,H,?,2,M,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,' ',' ',9,5,0
LA,S1,28,U,?,2,M,9,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',' ',10,1,0
IL,T1,53,U,?,5,F,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,' ',' ',13,4,0
CA,C3,72,H,?,1,F,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',12,11,0
IL,R3,76,U,?,1,F,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,' ',' ',11,12,0
TX,S1,46,H,?,6,F,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',' ',8,1,0
TX,C1,47,H,?,5,M,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,18,0
TX,T2,?,' ',?,?,F,?,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,12,5,0
OR,S1,88,H,?,5,F,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,' ',X,12,17,0
WI,T2,58,H,?,5,M,4,0,?,?,?,?,?,?,?,?,?,?,?,?,?,?,' ',X,13,3,0
