@relation churn2_train

@attribute COLLEGE {zero,one}
@attribute INCOME numeric
@attribute OVERAGE numeric
@attribute LEFTOVER numeric
@attribute HOUSE numeric
@attribute HANDSET_PRICE numeric
@attribute OVER_15MINS_CALLS_PER_MONTH numeric
@attribute AVERAGE_CALL_DURATION numeric
@attribute REPORTED_SATISFACTION {very_unsat,unsat,very_sat,sat,avg}
@attribute REPORTED_USAGE_LEVEL {very_little,high,little,avg,very_high}
@attribute CONSIDERING_CHANGE_OF_PLAN {actively_looking_into_it,considering,no,perhaps,never_thought}
@attribute PROFITABILITY numeric
@attribute LEAVE {LEAVE,STAY}

@data
zero,33624,0,21,951735,153,1,4,very_sat,very_little,considering,4.72,LEAVE
zero,42248,57,0,343616,221,4,14,avg,very_high,perhaps,2.08,LEAVE
zero,36721,0,0,861543,168,0,15,very_sat,little,actively_looking_into_it,7.58,STAY
zero,47167,54,54,978959,237,4,5,unsat,avg,considering,7.13,STAY
zero,33093,0,35,551603,171,0,2,avg,little,actively_looking_into_it,4.37,LEAVE
zero,142465,57,17,332082,798,4,5,avg,very_little,never_thought,4.82,STAY
one,41641,44,15,357875,210,3,5,very_sat,very_little,never_thought,2.92,LEAVE
one,118564,178,76,992596,524,28,8,very_sat,little,considering,4.62,LEAVE
zero,20573,0,7,325789,152,1,4,very_unsat,avg,actively_looking_into_it,1.52,LEAVE
one,111665,55,22,157738,800,4,5,unsat,little,actively_looking_into_it,2.25,LEAVE
one,27815,0,0,760836,152,0,13,unsat,little,considering,4.81,LEAVE
zero,80451,0,76,191617,278,1,2,very_unsat,little,never_thought,6.04,LEAVE
one,88786,0,23,400270,329,1,4,avg,little,considering,4.3,LEAVE
zero,55798,0,17,183333,381,0,6,very_sat,high,considering,5.09,STAY
zero,30386,52,65,205204,167,11,1,unsat,very_high,never_thought,6.99,STAY
one,95811,28,24,438069,357,4,6,unsat,little,never_thought,2.67,LEAVE
zero,51479,0,61,617465,336,1,4,very_unsat,very_high,no,6.04,STAY
zero,65476,70,0,871527,380,5,10,very_unsat,very_high,actively_looking_into_it,6.68,STAY
zero,91225,208,88,194030,396,5,4,very_unsat,very_high,considering,2.96,LEAVE
zero,158043,45,0,447492,373,3,12,very_sat,very_high,actively_looking_into_it,4.8,LEAVE
one,60034,229,14,773279,346,28,5,avg,little,actively_looking_into_it,4.22,STAY
one,20972,46,0,387424,437,4,8,unsat,very_high,considering,4.63,STAY
zero,42360,152,51,859740,130,25,4,very_unsat,avg,never_thought,3.19,STAY
one,103884,0,28,643325,560,1,6,very_sat,little,considering,3.67,LEAVE
one,79463,0,51,338517,252,0,1,unsat,very_little,no,4.81,LEAVE
zero,116950,168,0,493057,513,10,14,very_unsat,little,considering,2.82,STAY
one,30359,199,23,551124,392,12,6,unsat,little,actively_looking_into_it,2.03,LEAVE
zero,92432,0,0,731471,351,1,13,unsat,little,considering,7.76,STAY
one,113945,0,0,544908,632,1,10,avg,high,considering,3.12,STAY
zero,101973,0,84,330111,612,3,1,avg,very_little,considering,6.86,STAY
zero,51540,184,10,675948,312,20,4,sat,little,considering,6.68,STAY
one,79748,65,11,429649,259,4,10,very_unsat,very_little,actively_looking_into_it,2.44,LEAVE
one,90506,221,21,181312,300,17,9,sat,little,considering,2.93,STAY
zero,22167,61,6,243445,258,4,6,sat,little,considering,1.65,LEAVE
one,77249,0,0,377251,352,21,12,very_unsat,avg,considering,5.67,STAY
one,121193,0,0,618430,538,0,10,unsat,little,never_thought,5.16,STAY
one,59192,60,18,956841,399,5,6,unsat,very_high,actively_looking_into_it,5.86,STAY
one,139944,201,17,165958,465,20,4,very_sat,very_high,considering,4.03,LEAVE
zero,151376,37,0,491632,584,1,14,very_unsat,little,actively_looking_into_it,3.34,STAY
one,142954,184,37,183862,820,18,1,unsat,very_little,considering,4.3,LEAVE
one,46664,0,11,295537,218,1,2,unsat,little,actively_looking_into_it,4.77,STAY
zero,54559,180,11,884835,303,11,6,very_unsat,very_little,no,6.17,STAY
zero,87910,190,0,201035,391,15,13,unsat,very_little,actively_looking_into_it,3.86,LEAVE
zero,67279,55,9,466216,393,5,1,very_unsat,very_high,actively_looking_into_it,3.47,STAY
zero,83105,215,0,849422,259,20,10,very_sat,little,considering,7.01,STAY
zero,82131,268,43,621827,339,10,2,sat,very_high,no,6.01,STAY
one,116041,70,0,413171,543,5,10,very_unsat,little,actively_looking_into_it,3.55,STAY
zero,26100,188,0,154985,186,16,11,very_unsat,little,considering,1.99,LEAVE
one,117516,156,55,395775,887,15,1,unsat,very_high,actively_looking_into_it,3.36,LEAVE
zero,44840,162,74,300135,381,27,1,very_unsat,little,actively_looking_into_it,4.67,LEAVE
one,75886,182,20,751032,383,20,6,unsat,very_high,actively_looking_into_it,4.99,LEAVE
zero,159608,97,0,227847,752,28,11,very_unsat,little,no,3,LEAVE
one,42963,0,14,656471,160,0,4,avg,little,considering,6.54,STAY
one,29367,52,0,849211,215,5,12,very_unsat,little,never_thought,7.45,STAY
one,54707,176,39,461941,288,21,2,unsat,very_high,actively_looking_into_it,3.98,STAY
zero,90461,0,0,260191,258,0,15,very_sat,very_little,never_thought,5.74,STAY
zero,77045,61,17,904526,275,3,4,very_unsat,very_high,no,5.15,LEAVE
zero,25286,40,0,256335,182,4,12,avg,little,considering,4.87,LEAVE
zero,66226,204,25,236812,300,28,2,very_unsat,little,considering,3.41,LEAVE
one,157115,65,82,264647,250,3,1,very_sat,very_high,perhaps,6.23,STAY
zero,84933,214,0,257214,265,14,13,very_sat,very_little,actively_looking_into_it,4.4,STAY
zero,30160,74,5,361593,187,5,4,very_sat,very_little,no,1.67,LEAVE
zero,137261,0,15,667238,409,1,5,very_unsat,very_high,never_thought,4.43,STAY
zero,71324,0,0,284994,268,0,1,very_unsat,avg,considering,4.06,STAY
zero,116653,138,10,622161,249,18,5,very_sat,avg,actively_looking_into_it,3.77,LEAVE
one,46839,0,18,733809,235,1,5,very_unsat,little,considering,5.5,STAY
zero,37332,69,0,154828,273,3,13,very_sat,very_high,actively_looking_into_it,4.57,STAY
one,144830,68,52,564137,823,5,6,very_unsat,little,considering,6.57,LEAVE
zero,153699,71,0,168393,548,4,15,unsat,very_high,actively_looking_into_it,3.63,LEAVE
one,139659,0,44,598342,497,1,1,very_unsat,little,considering,6.51,STAY
one,136607,36,63,756392,184,4,1,very_unsat,little,no,5.91,LEAVE
zero,127148,0,10,627104,378,0,5,very_sat,little,considering,3.78,LEAVE
one,74119,226,14,471494,388,11,6,very_unsat,very_high,considering,3.78,LEAVE
zero,145513,52,0,266431,692,4,9,very_sat,little,considering,3.19,LEAVE
one,73213,135,10,213899,334,13,6,unsat,very_little,considering,4.74,STAY
zero,119883,210,17,510835,405,28,6,unsat,very_high,considering,4.54,STAY
zero,35860,0,20,160781,151,1,6,very_unsat,high,considering,4.63,LEAVE
zero,149165,198,0,257072,502,10,12,very_unsat,high,actively_looking_into_it,4.16,STAY
zero,20674,0,0,784065,161,1,11,very_sat,little,considering,5.54,STAY
one,37855,196,0,855984,245,26,15,very_sat,very_little,no,7.66,STAY
one,157413,0,23,238620,558,0,13,sat,avg,actively_looking_into_it,3.57,STAY
one,35457,14,80,216968,145,5,5,very_unsat,very_high,no,6.06,STAY
one,54478,0,12,736052,267,5,6,unsat,high,considering,5.01,STAY
one,126943,0,70,169242,485,1,1,very_unsat,little,considering,6.72,STAY
one,21906,201,70,316619,138,24,1,very_sat,little,considering,3.97,LEAVE
zero,49983,0,0,339962,181,0,13,unsat,little,actively_looking_into_it,3.15,LEAVE
zero,98456,0,0,768377,314,0,11,very_sat,very_little,actively_looking_into_it,7.13,STAY
one,51536,181,0,529411,318,21,8,very_sat,little,actively_looking_into_it,4.46,LEAVE
zero,32285,34,0,186352,272,3,1,unsat,very_high,considering,4.43,LEAVE
one,37470,152,41,176445,228,10,2,unsat,very_little,never_thought,3.16,STAY
one,49994,225,18,285186,178,27,4,avg,little,actively_looking_into_it,2.79,LEAVE
zero,136261,185,0,731411,551,27,8,avg,little,no,3.15,LEAVE
zero,51398,59,0,561477,381,4,13,unsat,very_high,no,4.1,STAY
one,40656,184,0,739815,153,15,11,very_unsat,little,never_thought,6.1,STAY
zero,102206,216,61,783753,502,15,15,unsat,very_little,no,4.39,LEAVE
zero,28829,225,5,739378,196,22,5,very_unsat,high,no,7.35,STAY
one,48399,0,0,187593,247,0,10,very_unsat,little,considering,3.37,STAY
zero,23346,0,0,692217,193,1,11,very_unsat,little,no,5.31,STAY
zero,152376,42,88,454631,642,5,1,sat,very_high,perhaps,5.16,LEAVE
one,36476,53,69,221194,245,4,1,very_sat,very_high,actively_looking_into_it,5.71,STAY
one,83382,194,13,672561,319,18,5,sat,very_high,actively_looking_into_it,5.44,STAY
one,21887,54,0,957016,210,3,2,unsat,little,considering,5.31,STAY
zero,31137,68,63,823473,245,5,2,very_unsat,very_high,actively_looking_into_it,5.64,STAY
zero,132824,234,21,274357,401,12,5,very_sat,little,considering,4.24,LEAVE
zero,53873,88,0,649047,366,4,13,unsat,little,considering,4.84,STAY
one,36829,183,0,808641,173,21,8,very_sat,very_high,actively_looking_into_it,6.42,STAY
zero,139545,227,8,956124,479,22,4,very_sat,avg,no,5.45,LEAVE
one,142391,139,0,636337,623,28,14,very_sat,little,perhaps,3.05,LEAVE
one,65073,84,20,746466,264,4,1,unsat,avg,perhaps,4.86,STAY
one,42328,145,45,265028,183,18,2,very_sat,little,considering,2.8,STAY
one,68056,66,0,266899,319,3,8,unsat,very_high,considering,3.52,LEAVE
zero,105527,0,82,571632,429,4,2,avg,very_high,considering,5.81,STAY
one,35735,217,9,214525,159,17,4,very_sat,little,never_thought,3.57,STAY
one,102036,0,85,407433,522,0,2,very_unsat,little,actively_looking_into_it,6.73,STAY
zero,47491,0,77,237345,207,0,2,avg,little,no,4.37,LEAVE
one,36265,55,0,262056,711,3,4,very_unsat,very_high,actively_looking_into_it,3.91,LEAVE
one,84079,75,10,247742,273,5,4,sat,little,actively_looking_into_it,3.48,STAY
one,75813,70,52,446838,263,5,2,unsat,very_little,actively_looking_into_it,6.81,LEAVE
one,23928,188,16,954489,448,15,12,very_unsat,very_high,no,5.53,STAY
zero,136846,35,20,413390,680,1,6,very_sat,high,never_thought,3.92,STAY
zero,67563,213,0,490329,376,20,9,very_unsat,avg,actively_looking_into_it,4.74,STAY
zero,113494,55,13,454172,848,27,5,very_unsat,very_little,no,3.23,STAY
zero,31033,145,0,264943,243,13,10,sat,very_high,actively_looking_into_it,3.13,LEAVE
zero,25472,241,65,376765,135,3,1,very_sat,little,actively_looking_into_it,3.28,LEAVE
one,147736,0,12,448218,878,1,6,very_unsat,little,actively_looking_into_it,5.65,STAY
zero,66756,51,20,546647,370,3,1,very_sat,high,considering,5.58,STAY
one,21713,71,0,265872,164,23,10,very_sat,little,perhaps,4.66,LEAVE
zero,69730,62,18,952551,383,3,6,very_unsat,very_high,considering,4.24,LEAVE
zero,51979,46,0,385135,386,5,8,very_unsat,very_little,no,4.14,STAY
one,33314,60,82,462463,174,3,1,very_sat,little,considering,7.51,LEAVE
one,115972,0,0,177884,810,5,12,very_unsat,avg,never_thought,4.37,STAY
one,33387,174,85,217045,198,21,1,unsat,very_little,no,2.25,LEAVE
zero,151663,201,0,162940,479,19,9,very_unsat,little,considering,4.28,LEAVE
zero,91035,34,0,502986,284,5,10,very_sat,high,actively_looking_into_it,1.69,LEAVE
one,31150,219,14,568356,225,16,6,very_sat,very_high,no,4.21,STAY
zero,86862,0,66,607869,339,0,2,very_unsat,little,no,6.97,STAY
zero,96814,0,0,328366,390,0,11,very_unsat,high,no,5.96,LEAVE
zero,111674,0,6,642484,899,1,5,avg,very_little,actively_looking_into_it,1.83,LEAVE
zero,75823,239,75,161228,273,14,2,unsat,little,perhaps,4.77,LEAVE
zero,88508,53,54,519642,392,3,1,very_sat,little,no,5.75,STAY
one,134481,0,22,230718,405,3,6,very_sat,very_high,actively_looking_into_it,3.81,LEAVE
zero,46104,195,16,722580,149,24,5,very_unsat,very_high,considering,3.73,LEAVE
zero,29502,0,0,843873,244,0,13,very_unsat,high,considering,4.91,LEAVE
one,30264,0,0,737112,167,27,8,very_sat,very_little,considering,6.74,LEAVE
one,50221,166,10,278239,386,23,5,very_sat,very_little,actively_looking_into_it,2.62,LEAVE
one,83569,0,28,244019,302,25,2,very_unsat,little,considering,6.29,STAY
one,79274,0,0,593740,348,1,12,very_unsat,very_high,actively_looking_into_it,2.79,STAY
zero,126231,213,5,580705,782,21,6,unsat,very_little,actively_looking_into_it,3.09,LEAVE
one,85612,46,7,240065,373,3,4,very_unsat,little,actively_looking_into_it,4.78,STAY
zero,51839,0,37,193305,198,1,2,very_unsat,very_high,considering,8.63,LEAVE
zero,49409,245,0,194028,330,17,11,unsat,high,actively_looking_into_it,2.13,STAY
one,153026,115,67,880576,608,1,2,very_unsat,little,considering,4.84,LEAVE
one,38443,85,5,588282,432,1,6,very_unsat,very_little,no,3.58,LEAVE
zero,53254,0,68,334257,290,1,1,unsat,very_high,actively_looking_into_it,4.99,LEAVE
one,120721,0,10,572661,458,1,6,very_unsat,little,actively_looking_into_it,3.21,LEAVE
one,137170,214,24,743268,823,13,4,very_sat,high,never_thought,1.79,LEAVE
zero,146716,147,68,666876,621,4,2,very_unsat,little,considering,2.74,LEAVE
one,87571,241,0,501480,304,16,10,very_unsat,little,considering,3.37,LEAVE
zero,20055,59,0,445609,371,4,9,very_unsat,avg,no,3.98,STAY
zero,96374,63,78,584254,380,4,11,very_unsat,very_high,considering,4.89,STAY
zero,55139,42,68,973003,378,5,1,unsat,little,no,8.57,STAY
zero,41596,74,50,534285,224,5,2,very_unsat,little,considering,5.88,LEAVE
one,112443,252,0,285264,742,29,5,very_unsat,very_high,actively_looking_into_it,3.23,STAY
one,76824,0,48,264036,262,1,1,very_unsat,little,actively_looking_into_it,6.79,STAY
one,48960,57,0,233637,219,3,15,avg,very_high,actively_looking_into_it,4.28,STAY
one,116755,0,39,560839,729,3,1,very_unsat,little,never_thought,4.62,LEAVE
zero,32928,0,11,944458,178,1,4,very_sat,little,never_thought,5.31,LEAVE
zero,87041,0,0,965781,370,1,14,avg,very_high,actively_looking_into_it,5.95,STAY
one,48791,40,0,214494,218,3,15,very_unsat,very_high,considering,4.57,STAY
one,47731,190,0,614603,227,11,13,very_sat,very_little,actively_looking_into_it,5.79,LEAVE
zero,80129,0,0,228744,356,1,15,unsat,very_little,actively_looking_into_it,3.88,STAY
zero,98376,224,12,658195,319,18,6,very_sat,little,considering,6.13,LEAVE
zero,23059,0,36,985633,205,1,1,unsat,very_little,actively_looking_into_it,6.7,STAY
one,96844,75,8,853888,270,4,5,unsat,high,considering,5.04,STAY
zero,43950,46,87,820436,198,5,1,very_sat,very_little,considering,5.73,STAY
one,78821,186,24,221544,364,20,4,unsat,avg,actively_looking_into_it,3.71,LEAVE
zero,57645,78,57,836756,389,4,2,very_sat,little,perhaps,7.34,STAY
one,20561,64,16,284731,221,4,6,very_sat,very_high,no,5.07,STAY
zero,53215,61,49,423797,378,5,2,avg,little,considering,4.32,LEAVE
one,41347,55,37,453699,168,4,1,unsat,little,actively_looking_into_it,7.01,LEAVE
one,42101,160,0,179773,231,28,15,very_unsat,high,no,3.25,LEAVE
zero,56284,177,89,925232,394,12,1,very_unsat,very_high,no,7.92,STAY
one,114991,58,74,190596,722,3,1,very_unsat,little,no,7.43,STAY
one,36982,201,0,207081,140,21,11,very_unsat,very_high,considering,3.7,LEAVE
zero,70797,0,18,245966,271,0,6,very_unsat,little,never_thought,2.85,LEAVE
one,135997,0,54,333627,808,0,2,unsat,very_high,considering,6.48,STAY
zero,46191,55,17,782997,167,3,4,very_unsat,high,never_thought,6.02,STAY
one,28578,210,0,483091,157,10,11,unsat,little,never_thought,3.02,LEAVE
zero,40819,0,35,933817,184,1,1,very_unsat,high,considering,4.54,LEAVE
zero,38836,58,0,218314,223,4,9,unsat,little,considering,0.87,LEAVE
zero,90058,0,60,220419,299,0,2,avg,little,never_thought,6.5,LEAVE
zero,26001,0,6,755883,155,0,4,unsat,very_high,considering,5.49,LEAVE
zero,127786,0,9,450815,596,1,4,very_unsat,high,considering,2.67,STAY
one,24967,240,0,871161,135,17,10,very_unsat,high,considering,4.53,STAY
one,82137,226,7,541506,387,14,5,very_unsat,little,perhaps,2.85,LEAVE
zero,23620,0,24,323965,240,1,5,very_sat,very_little,actively_looking_into_it,4.77,STAY
one,47508,54,77,447154,145,3,1,avg,little,considering,7.41,STAY
zero,146166,68,38,642499,412,5,1,very_sat,very_high,no,6.49,LEAVE
one,110094,64,0,376591,410,3,10,very_sat,little,no,3.04,LEAVE
zero,75535,253,18,222468,217,21,4,very_unsat,very_high,never_thought,4.93,LEAVE
one,48603,78,72,769969,196,4,2,very_unsat,little,considering,8.67,STAY
one,152934,173,6,402160,648,26,5,sat,high,never_thought,5.42,STAY
zero,49841,62,26,239533,358,4,2,very_sat,little,considering,6.63,STAY
one,82993,0,0,832198,277,0,11,very_unsat,high,considering,4.36,LEAVE
one,101065,0,0,903185,434,0,15,very_sat,little,actively_looking_into_it,5.23,STAY
zero,77642,175,0,591147,359,12,12,very_sat,little,actively_looking_into_it,5.93,LEAVE
one,61716,0,0,512722,361,1,13,very_sat,very_little,no,4.36,LEAVE
zero,61283,169,0,759514,359,18,8,very_unsat,very_little,considering,6.88,STAY
one,26199,236,84,643858,196,14,2,very_unsat,very_high,actively_looking_into_it,5.16,LEAVE
zero,91199,208,0,699712,239,10,2,very_unsat,little,no,5.59,LEAVE
one,72753,78,12,769523,368,3,6,avg,very_high,no,5.03,LEAVE
zero,108119,206,17,274314,425,20,4,very_sat,little,never_thought,3.25,LEAVE
zero,121217,67,0,257834,627,5,15,unsat,very_high,actively_looking_into_it,2.52,STAY
one,124674,25,0,554008,440,3,13,avg,avg,perhaps,3.87,STAY
zero,21867,206,39,858934,198,25,1,very_unsat,little,no,6.68,STAY
zero,23902,35,83,184303,243,4,2,avg,very_little,considering,7.41,LEAVE
zero,36133,0,19,198728,197,0,4,unsat,high,never_thought,2.14,STAY
zero,34753,51,5,530993,227,3,5,very_sat,little,considering,3.56,LEAVE
one,79483,0,14,564454,357,4,5,unsat,little,never_thought,3.17,LEAVE
zero,32459,0,21,516202,226,1,4,very_unsat,little,never_thought,3.6,STAY
one,130552,214,44,194968,608,24,2,sat,very_little,never_thought,2.78,LEAVE
one,95936,193,48,439220,343,17,1,very_unsat,very_high,considering,2.91,STAY
zero,80086,213,41,808932,399,16,1,avg,very_high,never_thought,7.35,STAY
one,69927,21,73,752369,338,4,1,avg,very_little,considering,4.88,STAY
one,138651,0,22,267910,443,0,5,very_unsat,very_high,considering,4.69,STAY
one,109941,178,0,723352,865,19,8,very_sat,very_high,considering,2.87,STAY
one,82142,156,16,261912,297,29,4,very_unsat,little,considering,3.86,LEAVE
one,89000,0,25,303327,335,27,12,very_unsat,very_little,considering,5.51,LEAVE
one,120353,0,0,164922,483,0,5,very_sat,very_little,never_thought,2.72,LEAVE
zero,113642,0,8,936629,702,1,6,very_sat,high,never_thought,3.77,STAY
zero,70239,34,0,496839,314,3,14,very_unsat,little,no,3.29,STAY
one,90972,134,74,444025,354,28,2,very_unsat,very_high,considering,0.99,LEAVE
zero,132053,206,62,440175,770,27,2,very_sat,little,no,2.11,LEAVE
zero,96076,0,55,482738,303,1,2,very_unsat,little,considering,6.24,STAY
zero,112414,233,18,360701,164,24,6,very_sat,very_high,considering,4.44,LEAVE
zero,26159,0,39,461708,180,0,15,very_unsat,high,considering,7.22,STAY
zero,39105,89,6,457062,238,5,4,very_sat,very_high,actively_looking_into_it,3.81,LEAVE
zero,22542,204,50,419367,147,19,1,unsat,little,actively_looking_into_it,3.45,STAY
zero,75882,0,15,722808,351,16,4,very_sat,avg,no,6.17,STAY
one,41726,54,24,341829,132,3,4,very_unsat,very_high,considering,4.67,STAY
one,110781,0,30,429777,841,0,2,unsat,little,perhaps,5.79,LEAVE
one,148510,0,39,237294,736,0,2,very_unsat,very_high,actively_looking_into_it,5.79,LEAVE
one,142506,222,0,506151,609,20,12,very_sat,little,no,3.52,LEAVE
one,104947,62,10,853018,500,3,5,avg,very_little,actively_looking_into_it,4.22,LEAVE
zero,26146,0,0,219835,248,1,15,very_unsat,very_high,considering,5.72,STAY
zero,20769,0,16,633537,149,0,4,very_sat,little,actively_looking_into_it,4.64,LEAVE
zero,124108,48,70,193028,619,5,1,very_sat,little,considering,6.41,LEAVE
zero,81361,39,7,188486,587,3,4,very_unsat,avg,actively_looking_into_it,3.33,STAY
zero,55434,0,0,824517,288,1,8,very_unsat,high,considering,6.33,LEAVE
zero,26367,150,23,579417,183,13,6,very_sat,very_little,no,4.98,STAY
zero,24203,251,72,355013,164,24,2,very_sat,little,no,3.82,STAY
zero,20012,0,44,354611,133,0,2,very_sat,very_high,considering,7.12,LEAVE
one,32186,194,13,315065,192,17,1,very_unsat,high,actively_looking_into_it,3.31,LEAVE
zero,60829,224,0,235334,364,18,11,unsat,little,actively_looking_into_it,2.46,LEAVE
one,136555,62,44,878969,512,23,1,very_unsat,little,considering,5.72,STAY
one,76766,212,6,277752,398,22,1,very_unsat,very_high,considering,4.12,LEAVE
zero,109879,48,12,276855,722,4,5,very_unsat,very_high,considering,4.29,LEAVE
zero,65875,78,81,266415,307,4,2,unsat,little,no,5.66,STAY
one,35372,204,0,372761,180,11,2,very_unsat,very_high,no,3.27,LEAVE
one,34728,0,14,203218,227,1,2,very_sat,very_little,no,3.92,STAY
zero,52317,0,66,929536,285,1,2,avg,little,actively_looking_into_it,8.09,STAY
one,148677,195,23,505703,340,0,6,unsat,very_high,considering,3.26,STAY
zero,44748,0,19,182330,179,0,6,very_unsat,very_high,never_thought,3.72,LEAVE
zero,77644,185,12,223506,271,18,4,very_unsat,avg,no,3.51,LEAVE
zero,117943,239,0,520565,546,27,13,unsat,little,perhaps,3.21,LEAVE
one,46640,0,0,818663,319,1,13,unsat,high,considering,6.26,LEAVE
one,145646,0,14,471863,500,0,4,unsat,very_high,no,3.77,STAY
one,131869,0,70,304604,700,1,2,unsat,little,no,6.31,LEAVE
zero,49009,174,38,252732,224,16,2,unsat,little,no,1.58,LEAVE
one,46892,67,25,575616,222,13,1,avg,very_high,actively_looking_into_it,5.64,LEAVE
zero,144838,0,74,983272,545,1,2,very_unsat,avg,actively_looking_into_it,5.44,LEAVE
zero,133390,82,18,750032,520,4,4,very_sat,very_little,actively_looking_into_it,3.07,LEAVE
zero,35963,170,0,272279,230,21,15,avg,very_little,considering,4.04,LEAVE
one,94259,78,0,237025,495,24,10,very_unsat,little,considering,2.31,STAY
